SF-A-022;Sensirion;RMSE;MAE
-5.8125;-7.1429;5.525324884640521;3.664557039274924
-5.8125;-7.1143;5.525324884640521;3.664557039274924
-6.0;-7.1429;5.525324884640521;3.664557039274924
-6.125;-7.0571;5.525324884640521;3.664557039274924
-6.125;-7.0;5.525324884640521;3.664557039274924
-6.1875;-6.9714;5.525324884640521;3.664557039274924
-6.25;-6.9714;5.525324884640521;3.664557039274924
-6.1875;-6.9429;5.525324884640521;3.664557039274924
-6.1875;-6.9429;5.525324884640521;3.664557039274924
-6.125;-6.9143;5.525324884640521;3.664557039274924
-6.125;-6.8571;5.525324884640521;3.664557039274924
-6.25;-6.8;5.525324884640521;3.664557039274924
-6.375;-6.7714;5.525324884640521;3.664557039274924
-6.125;-6.7429;5.525324884640521;3.664557039274924
-5.6875;-6.7143;5.525324884640521;3.664557039274924
-5.5625;-6.6857;5.525324884640521;3.664557039274924
-5.5625;-6.6571;5.525324884640521;3.664557039274924
-5.4375;-6.6286;5.525324884640521;3.664557039274924
-5.375;-6.6571;5.525324884640521;3.664557039274924
-5.4375;-6.6;5.525324884640521;3.664557039274924
-5.5;-6.6286;5.525324884640521;3.664557039274924
-5.5625;-6.5143;5.525324884640521;3.664557039274924
-5.625;-6.4857;5.525324884640521;3.664557039274924
-5.625;-6.5143;5.525324884640521;3.664557039274924
-5.5625;-6.5429;5.525324884640521;3.664557039274924
-5.5625;-6.5143;5.525324884640521;3.664557039274924
-5.6875;-6.5714;5.525324884640521;3.664557039274924
-5.625;-6.5714;5.525324884640521;3.664557039274924
-5.375;-6.6286;5.525324884640521;3.664557039274924
-5.1875;-6.7143;5.525324884640521;3.664557039274924
-5.0;-6.7714;5.525324884640521;3.664557039274924
-4.8125;-6.9429;5.525324884640521;3.664557039274924
-5.0;-7.0286;5.525324884640521;3.664557039274924
-5.625;-7.1714;5.525324884640521;3.664557039274924
-6.0625;-7.3429;5.525324884640521;3.664557039274924
-6.3125;-7.5143;5.525324884640521;3.664557039274924
-6.375;-7.7429;5.525324884640521;3.664557039274924
-6.625;-7.9714;5.525324884640521;3.664557039274924
-7.0625;-8.1429;5.525324884640521;3.664557039274924
-7.5;-8.4286;5.525324884640521;3.664557039274924
-7.5625;-8.7143;5.525324884640521;3.664557039274924
-7.5;-9.0571;5.525324884640521;3.664557039274924
-7.375;-9.2857;5.525324884640521;3.664557039274924
-7.3125;-9.6857;5.525324884640521;3.664557039274924
-7.5625;-10.0857;5.525324884640521;3.664557039274924
-8.0;-10.4571;5.525324884640521;3.664557039274924
-8.625;-10.8571;5.525324884640521;3.664557039274924
-9.375;-11.2857;5.525324884640521;3.664557039274924
-9.8125;-11.6857;5.525324884640521;3.664557039274924
-9.875;-12.1429;5.525324884640521;3.664557039274924
-10.1875;-12.6286;5.525324884640521;3.664557039274924
-10.6875;-13.0857;5.525324884640521;3.664557039274924
-11.125;-13.6571;5.525324884640521;3.664557039274924
