SF-A-022;Sensirion;RMSE;MAE
-4.375;-4.9714;2.155158007671402;1.5150847360482655
-4.625;-5.0286;2.155158007671402;1.5150847360482655
-4.875;-4.9429;2.155158007671402;1.5150847360482655
-4.875;-4.9143;2.155158007671402;1.5150847360482655
-4.6875;-4.8286;2.155158007671402;1.5150847360482655
-4.5625;-4.8286;2.155158007671402;1.5150847360482655
-4.5625;-4.8;2.155158007671402;1.5150847360482655
-4.6875;-4.7714;2.155158007671402;1.5150847360482655
-4.5625;-4.7429;2.155158007671402;1.5150847360482655
-4.25;-4.7143;2.155158007671402;1.5150847360482655
-4.125;-4.7143;2.155158007671402;1.5150847360482655
-4.1875;-4.6571;2.155158007671402;1.5150847360482655
-4.3125;-4.6;2.155158007671402;1.5150847360482655
-4.375;-4.6;2.155158007671402;1.5150847360482655
-4.4375;-4.5714;2.155158007671402;1.5150847360482655
-4.4375;-4.5714;2.155158007671402;1.5150847360482655
-4.375;-4.5143;2.155158007671402;1.5150847360482655
-4.125;-4.5143;2.155158007671402;1.5150847360482655
-3.9375;-4.5143;2.155158007671402;1.5150847360482655
-3.9375;-4.4857;2.155158007671402;1.5150847360482655
-4.0;-4.4857;2.155158007671402;1.5150847360482655
-4.0;-4.4571;2.155158007671402;1.5150847360482655
-3.9375;-4.4857;2.155158007671402;1.5150847360482655
-3.75;-4.4857;2.155158007671402;1.5150847360482655
-3.6875;-4.5143;2.155158007671402;1.5150847360482655
-3.8125;-4.5714;2.155158007671402;1.5150847360482655
-3.875;-4.6286;2.155158007671402;1.5150847360482655
-3.9375;-4.7143;2.155158007671402;1.5150847360482655
-4.0;-4.8286;2.155158007671402;1.5150847360482655
-4.0;-4.8857;2.155158007671402;1.5150847360482655
-4.0;-5.0;2.155158007671402;1.5150847360482655
-3.9375;-5.2;2.155158007671402;1.5150847360482655
-3.8125;-5.3429;2.155158007671402;1.5150847360482655
-3.8125;-5.4857;2.155158007671402;1.5150847360482655
-3.9375;-5.7429;2.155158007671402;1.5150847360482655
-4.1875;-5.9429;2.155158007671402;1.5150847360482655
-4.4375;-6.1143;2.155158007671402;1.5150847360482655
-4.625;-6.4571;2.155158007671402;1.5150847360482655
-5.0625;-6.7429;2.155158007671402;1.5150847360482655
-5.625;-7.0286;2.155158007671402;1.5150847360482655
-6.125;-7.3143;2.155158007671402;1.5150847360482655
-6.5;-7.6571;2.155158007671402;1.5150847360482655
-6.75;-7.9714;2.155158007671402;1.5150847360482655
-6.75;-8.3429;2.155158007671402;1.5150847360482655
-6.75;-8.7429;2.155158007671402;1.5150847360482655
-6.6875;-9.1429;2.155158007671402;1.5150847360482655
-6.6875;-9.6286;2.155158007671402;1.5150847360482655
-6.625;-10.0286;2.155158007671402;1.5150847360482655
-6.75;-10.4857;2.155158007671402;1.5150847360482655
-7.1875;-10.8857;2.155158007671402;1.5150847360482655
-8.0625;-11.4571;2.155158007671402;1.5150847360482655
-9.25;-11.9714;2.155158007671402;1.5150847360482655
-10.25;-12.5429;2.155158007671402;1.5150847360482655
-10.875;-13.0857;2.155158007671402;1.5150847360482655
-11.375;-13.6286;2.155158007671402;1.5150847360482655
-12.0;-14.2857;2.155158007671402;1.5150847360482655
-12.8125;-14.9143;2.155158007671402;1.5150847360482655
-13.5;-15.5714;2.155158007671402;1.5150847360482655
-13.9375;-16.1714;2.155158007671402;1.5150847360482655
-14.5;-16.8;2.155158007671402;1.5150847360482655
-15.3125;-17.4857;2.155158007671402;1.5150847360482655
-16.125;-18.1714;2.155158007671402;1.5150847360482655
-17.0;-18.8857;2.155158007671402;1.5150847360482655
-17.75;-19.4286;2.155158007671402;1.5150847360482655
-18.3125;-20.1429;2.155158007671402;1.5150847360482655
-18.875;-20.8571;2.155158007671402;1.5150847360482655
-19.625;-21.4857;2.155158007671402;1.5150847360482655
-20.5625;-22.0857;2.155158007671402;1.5150847360482655
-21.625;-22.7143;2.155158007671402;1.5150847360482655
-22.4375;-23.4286;2.155158007671402;1.5150847360482655
-22.75;-24.1143;2.155158007671402;1.5150847360482655
-23.375;-24.8286;2.155158007671402;1.5150847360482655
-24.1875;-25.6286;2.155158007671402;1.5150847360482655
-24.75;-26.2286;2.155158007671402;1.5150847360482655
-25.6875;-27.0;2.155158007671402;1.5150847360482655
-26.6875;-27.4857;2.155158007671402;1.5150847360482655
-27.375;-28.2;2.155158007671402;1.5150847360482655
-27.6875;-28.9143;2.155158007671402;1.5150847360482655
-27.6875;-29.6286;2.155158007671402;1.5150847360482655
-27.625;-30.2286;2.155158007671402;1.5150847360482655
-27.5;-30.9714;2.155158007671402;1.5150847360482655
-27.75;-31.6857;2.155158007671402;1.5150847360482655
-29.1875;-32.2571;2.155158007671402;1.5150847360482655
-31.0;-32.8286;2.155158007671402;1.5150847360482655
-32.375;-33.6286;2.155158007671402;1.5150847360482655
-33.8125;-34.3143;2.155158007671402;1.5150847360482655
-34.8125;-35.0;2.155158007671402;1.5150847360482655
-35.625;-35.7714;2.155158007671402;1.5150847360482655
-36.375;-36.2571;2.155158007671402;1.5150847360482655
-36.75;-36.9429;2.155158007671402;1.5150847360482655
-37.3125;-37.7143;2.155158007671402;1.5150847360482655
-38.5625;-38.4286;2.155158007671402;1.5150847360482655
-39.875;-38.9714;2.155158007671402;1.5150847360482655
-40.4375;-39.7143;2.155158007671402;1.5150847360482655
-40.5;-40.5429;2.155158007671402;1.5150847360482655
-41.25;-40.9143;2.155158007671402;1.5150847360482655
-42.4375;-41.6;2.155158007671402;1.5150847360482655
-43.0625;-42.2571;2.155158007671402;1.5150847360482655
-43.25;-43.2;2.155158007671402;1.5150847360482655
-44.1875;-43.7143;2.155158007671402;1.5150847360482655
-44.875;-44.4286;2.155158007671402;1.5150847360482655
-45.25;-45.0286;2.155158007671402;1.5150847360482655
-46.0;-45.7143;2.155158007671402;1.5150847360482655
-46.8125;-46.2;2.155158007671402;1.5150847360482655
-47.3125;-47.0;2.155158007671402;1.5150847360482655
-47.625;-47.5429;2.155158007671402;1.5150847360482655
-48.1875;-48.1143;2.155158007671402;1.5150847360482655
-48.875;-48.5714;2.155158007671402;1.5150847360482655
-49.3125;-49.1143;2.155158007671402;1.5150847360482655
-49.5;-50.1143;2.155158007671402;1.5150847360482655
-49.5;-50.6857;2.155158007671402;1.5150847360482655
-49.5;-50.7143;2.155158007671402;1.5150847360482655
-49.1875;-51.3429;2.155158007671402;1.5150847360482655
-49.3125;-52.2571;2.155158007671402;1.5150847360482655
-50.8125;-52.4857;2.155158007671402;1.5150847360482655
-52.625;-53.2286;2.155158007671402;1.5150847360482655
-54.25;-53.4857;2.155158007671402;1.5150847360482655
-55.375;-54.2;2.155158007671402;1.5150847360482655
-56.0;-54.7714;2.155158007671402;1.5150847360482655
-56.625;-55.1143;2.155158007671402;1.5150847360482655
-56.875;-55.7143;2.155158007671402;1.5150847360482655
-57.125;-56.1714;2.155158007671402;1.5150847360482655
-57.9375;-56.8;2.155158007671402;1.5150847360482655
-58.5625;-57.2286;2.155158007671402;1.5150847360482655
-58.5625;-57.7714;2.155158007671402;1.5150847360482655
-58.8125;-58.0857;2.155158007671402;1.5150847360482655
