SF-A-022;Sensirion;RMSE;MAE
-7.375;-7.6;3.785808432774785;2.5633676506024097
-7.0625;-7.5143;3.785808432774785;2.5633676506024097
-6.9375;-7.5714;3.785808432774785;2.5633676506024097
-7.0;-7.4857;3.785808432774785;2.5633676506024097
-7.1875;-7.4571;3.785808432774785;2.5633676506024097
-7.125;-7.4571;3.785808432774785;2.5633676506024097
-7.0;-7.4;3.785808432774785;2.5633676506024097
-6.75;-7.3429;3.785808432774785;2.5633676506024097
-6.5;-7.3143;3.785808432774785;2.5633676506024097
-6.3125;-7.2857;3.785808432774785;2.5633676506024097
-6.1875;-7.2571;3.785808432774785;2.5633676506024097
-6.25;-7.1714;3.785808432774785;2.5633676506024097
-6.5;-7.1429;3.785808432774785;2.5633676506024097
-6.75;-7.0857;3.785808432774785;2.5633676506024097
-6.875;-7.0;3.785808432774785;2.5633676506024097
-6.8125;-7.0571;3.785808432774785;2.5633676506024097
-6.625;-7.0;3.785808432774785;2.5633676506024097
-6.375;-6.9714;3.785808432774785;2.5633676506024097
-6.25;-6.9143;3.785808432774785;2.5633676506024097
-6.375;-6.9429;3.785808432774785;2.5633676506024097
-6.625;-6.8857;3.785808432774785;2.5633676506024097
-6.6875;-6.8857;3.785808432774785;2.5633676506024097
-6.5625;-6.8571;3.785808432774785;2.5633676506024097
-6.375;-6.8571;3.785808432774785;2.5633676506024097
-6.25;-6.7714;3.785808432774785;2.5633676506024097
-6.1875;-6.8571;3.785808432774785;2.5633676506024097
-6.1875;-6.8;3.785808432774785;2.5633676506024097
-6.1875;-6.8286;3.785808432774785;2.5633676506024097
-6.1875;-6.8286;3.785808432774785;2.5633676506024097
-6.25;-6.8857;3.785808432774785;2.5633676506024097
-6.3125;-6.9143;3.785808432774785;2.5633676506024097
-6.375;-6.9143;3.785808432774785;2.5633676506024097
-6.25;-7.0;3.785808432774785;2.5633676506024097
-5.875;-7.0286;3.785808432774785;2.5633676506024097
-5.6875;-7.1714;3.785808432774785;2.5633676506024097
-5.9375;-7.2286;3.785808432774785;2.5633676506024097
-6.4375;-7.3714;3.785808432774785;2.5633676506024097
-7.0625;-7.5714;3.785808432774785;2.5633676506024097
-7.5;-7.7143;3.785808432774785;2.5633676506024097
-7.625;-7.9429;3.785808432774785;2.5633676506024097
-7.4375;-8.0857;3.785808432774785;2.5633676506024097
-7.0;-8.2857;3.785808432774785;2.5633676506024097
-6.6875;-8.5714;3.785808432774785;2.5633676506024097
-6.625;-8.8571;3.785808432774785;2.5633676506024097
-6.9375;-9.1143;3.785808432774785;2.5633676506024097
-7.3125;-9.4286;3.785808432774785;2.5633676506024097
-7.625;-9.7714;3.785808432774785;2.5633676506024097
-8.0;-10.0857;3.785808432774785;2.5633676506024097
-8.4375;-10.4286;3.785808432774785;2.5633676506024097
-8.875;-10.8;3.785808432774785;2.5633676506024097
-9.1875;-11.2857;3.785808432774785;2.5633676506024097
