SF-A-022;Sensirion;RMSE;MAE
0.03;-8.6;309.262605099514;238.875728470392
327.71;-8.6;309.262605099514;238.875728470392
317.47;-8.5143;309.262605099514;238.875728470392
314.91;-8.5143;309.262605099514;238.875728470392
302.11;-8.4286;309.262605099514;238.875728470392
294.43;-8.4571;309.262605099514;238.875728470392
279.07;-8.4;309.262605099514;238.875728470392
271.39;-8.3714;309.262605099514;238.875728470392
261.15;-8.2857;309.262605099514;238.875728470392
253.47;-8.2857;309.262605099514;238.875728470392
248.35;-8.2571;309.262605099514;238.875728470392
230.43;-8.2;309.262605099514;238.875728470392
222.75;-8.1714;309.262605099514;238.875728470392
215.07;-8.1429;309.262605099514;238.875728470392
209.95;-8.1714;309.262605099514;238.875728470392
199.71;-8.1143;309.262605099514;238.875728470392
192.03;-8.0857;309.262605099514;238.875728470392
181.79;-8.0286;309.262605099514;238.875728470392
174.11;-8.0571;309.262605099514;238.875728470392
168.99;-8.0;309.262605099514;238.875728470392
161.31;-8.0;309.262605099514;238.875728470392
148.51;-7.9429;309.262605099514;238.875728470392
145.95;-7.9429;309.262605099514;238.875728470392
140.83;-7.8857;309.262605099514;238.875728470392
145.95;-7.9429;309.262605099514;238.875728470392
145.95;-7.9429;309.262605099514;238.875728470392
148.51;-7.9714;309.262605099514;238.875728470392
161.31;-8.0;309.262605099514;238.875728470392
171.55;-8.0857;309.262605099514;238.875728470392
179.23;-8.1143;309.262605099514;238.875728470392
199.71;-8.2;309.262605099514;238.875728470392
222.75;-8.3429;309.262605099514;238.875728470392
250.91;-8.4571;309.262605099514;238.875728470392
289.31;-8.6571;309.262605099514;238.875728470392
348.19;-8.8286;309.262605099514;238.875728470392
389.15;-9.0571;309.262605099514;238.875728470392
442.91;-9.2571;309.262605099514;238.875728470392
501.79;-9.4857;309.262605099514;238.875728470392
563.23;-9.8;309.262605099514;238.875728470392
640.04;-10.0286;309.262605099514;238.875728470392
56.36;-10.3429;309.262605099514;238.875728470392
145.96;-10.7714;309.262605099514;238.875728470392
233.0;-11.0857;309.262605099514;238.875728470392
322.6;-11.4;309.262605099514;238.875728470392
419.88;-11.8;309.262605099514;238.875728470392
522.28;-12.2;309.262605099514;238.875728470392
611.89;-12.6286;309.262605099514;238.875728470392
89.65;-13.1143;309.262605099514;238.875728470392
192.05;-13.5143;309.262605099514;238.875728470392
314.93;-14.0;309.262605099514;238.875728470392
455.73;-14.5143;309.262605099514;238.875728470392
596.54;-15.0571;309.262605099514;238.875728470392
79.42;-15.6;309.262605099514;238.875728470392
