SF-A-022;Sensirion;RMSE;MAE
161.6875;-8.4286;225.7831155486485;206.76682771591933
161.6875;-8.3429;225.7831155486485;206.76682771591933
161.625;-8.3143;225.7831155486485;206.76682771591933
161.625;-8.2286;225.7831155486485;206.76682771591933
161.5625;-8.2286;225.7831155486485;206.76682771591933
161.5625;-8.2;225.7831155486485;206.76682771591933
161.5625;-8.1429;225.7831155486485;206.76682771591933
161.5625;-8.0857;225.7831155486485;206.76682771591933
161.5;-8.0286;225.7831155486485;206.76682771591933
161.5;-7.9714;225.7831155486485;206.76682771591933
161.5;-7.9429;225.7831155486485;206.76682771591933
161.5;-7.9143;225.7831155486485;206.76682771591933
161.5;-7.8857;225.7831155486485;206.76682771591933
161.5;-7.8571;225.7831155486485;206.76682771591933
161.4375;-7.8286;225.7831155486485;206.76682771591933
161.4375;-7.7429;225.7831155486485;206.76682771591933
161.4375;-7.6857;225.7831155486485;206.76682771591933
161.375;-7.6571;225.7831155486485;206.76682771591933
161.375;-7.6571;225.7831155486485;206.76682771591933
161.3125;-7.5714;225.7831155486485;206.76682771591933
161.3125;-7.6286;225.7831155486485;206.76682771591933
161.375;-7.5714;225.7831155486485;206.76682771591933
161.375;-7.5714;225.7831155486485;206.76682771591933
161.375;-7.5143;225.7831155486485;206.76682771591933
161.375;-7.5143;225.7831155486485;206.76682771591933
161.375;-7.5143;225.7831155486485;206.76682771591933
161.375;-7.4857;225.7831155486485;206.76682771591933
161.375;-7.4857;225.7831155486485;206.76682771591933
161.375;-7.5429;225.7831155486485;206.76682771591933
161.375;-7.5143;225.7831155486485;206.76682771591933
161.375;-7.5429;225.7831155486485;206.76682771591933
161.4375;-7.6857;225.7831155486485;206.76682771591933
161.4375;-7.6857;225.7831155486485;206.76682771591933
161.5;-7.8286;225.7831155486485;206.76682771591933
161.5;-7.9429;225.7831155486485;206.76682771591933
161.5625;-8.0286;225.7831155486485;206.76682771591933
161.625;-8.2286;225.7831155486485;206.76682771591933
161.75;-8.4;225.7831155486485;206.76682771591933
161.8125;-8.5429;225.7831155486485;206.76682771591933
161.9375;-8.7714;225.7831155486485;206.76682771591933
162.0625;-9.0;225.7831155486485;206.76682771591933
162.1875;-9.2286;225.7831155486485;206.76682771591933
162.3125;-9.5714;225.7831155486485;206.76682771591933
162.4375;-9.7714;225.7831155486485;206.76682771591933
162.5625;-10.1429;225.7831155486485;206.76682771591933
162.75;-10.5143;225.7831155486485;206.76682771591933
162.9375;-10.8;225.7831155486485;206.76682771591933
163.125;-11.2;225.7831155486485;206.76682771591933
163.3125;-11.5714;225.7831155486485;206.76682771591933
163.4375;-12.0571;225.7831155486485;206.76682771591933
163.5;-12.5429;225.7831155486485;206.76682771591933
163.5;-12.8857;225.7831155486485;206.76682771591933
163.5;-13.3429;225.7831155486485;206.76682771591933
163.5;-13.8571;225.7831155486485;206.76682771591933
163.6875;-14.4571;225.7831155486485;206.76682771591933
164.25;-14.9429;225.7831155486485;206.76682771591933
164.9375;-15.4571;225.7831155486485;206.76682771591933
165.5625;-16.0857;225.7831155486485;206.76682771591933
166.0625;-16.7143;225.7831155486485;206.76682771591933
166.4375;-17.2857;225.7831155486485;206.76682771591933
166.8125;-17.8;225.7831155486485;206.76682771591933
167.1875;-18.3714;225.7831155486485;206.76682771591933
167.5625;-19.0857;225.7831155486485;206.76682771591933
168.0;-19.6571;225.7831155486485;206.76682771591933
168.375;-20.3714;225.7831155486485;206.76682771591933
168.6875;-20.8857;225.7831155486485;206.76682771591933
169.0625;-21.5714;225.7831155486485;206.76682771591933
169.5;-22.3714;225.7831155486485;206.76682771591933
170.0;-23.1143;225.7831155486485;206.76682771591933
170.5;-23.5429;225.7831155486485;206.76682771591933
171.0;-24.3429;225.7831155486485;206.76682771591933
171.4375;-24.8571;225.7831155486485;206.76682771591933
171.875;-25.5429;225.7831155486485;206.76682771591933
172.375;-26.2;225.7831155486485;206.76682771591933
