SF-A-022;Sensirion;RMSE;MAE
7.1875;-7.2571;136.27060136941017;104.55850814479638
7.125;-7.2286;136.27060136941017;104.55850814479638
7.0;-7.2;136.27060136941017;104.55850814479638
6.9375;-7.2;136.27060136941017;104.55850814479638
7.0;-7.1143;136.27060136941017;104.55850814479638
7.0;-7.1143;136.27060136941017;104.55850814479638
6.875;-7.0571;136.27060136941017;104.55850814479638
6.8125;-7.0;136.27060136941017;104.55850814479638
6.75;-6.9714;136.27060136941017;104.55850814479638
6.8125;-6.9429;136.27060136941017;104.55850814479638
6.875;-6.8571;136.27060136941017;104.55850814479638
6.9375;-6.8286;136.27060136941017;104.55850814479638
7.0;-6.7714;136.27060136941017;104.55850814479638
7.0;-6.8286;136.27060136941017;104.55850814479638
7.0;-6.7429;136.27060136941017;104.55850814479638
7.0;-6.6571;136.27060136941017;104.55850814479638
6.9375;-6.6857;136.27060136941017;104.55850814479638
6.6875;-6.6;136.27060136941017;104.55850814479638
6.4375;-6.6571;136.27060136941017;104.55850814479638
6.375;-6.6;136.27060136941017;104.55850814479638
6.3125;-6.6;136.27060136941017;104.55850814479638
6.25;-6.5714;136.27060136941017;104.55850814479638
6.4375;-6.5429;136.27060136941017;104.55850814479638
6.625;-6.4857;136.27060136941017;104.55850814479638
6.625;-6.4571;136.27060136941017;104.55850814479638
6.5625;-6.5429;136.27060136941017;104.55850814479638
6.4375;-6.6;136.27060136941017;104.55850814479638
6.25;-6.6;136.27060136941017;104.55850814479638
6.25;-6.6857;136.27060136941017;104.55850814479638
6.4375;-6.8;136.27060136941017;104.55850814479638
6.5625;-6.8;136.27060136941017;104.55850814479638
6.6875;-6.9714;136.27060136941017;104.55850814479638
6.6875;-7.1143;136.27060136941017;104.55850814479638
6.625;-7.2571;136.27060136941017;104.55850814479638
6.625;-7.4286;136.27060136941017;104.55850814479638
6.5625;-7.6;136.27060136941017;104.55850814479638
6.5;-7.7714;136.27060136941017;104.55850814479638
6.625;-8.0286;136.27060136941017;104.55850814479638
7.0;-8.2;136.27060136941017;104.55850814479638
7.5625;-8.5429;136.27060136941017;104.55850814479638
8.0;-8.7429;136.27060136941017;104.55850814479638
8.25;-9.0571;136.27060136941017;104.55850814479638
8.4375;-9.3714;136.27060136941017;104.55850814479638
8.5;-9.7143;136.27060136941017;104.55850814479638
8.5625;-10.0857;136.27060136941017;104.55850814479638
8.5625;-10.4857;136.27060136941017;104.55850814479638
8.5625;-10.8286;136.27060136941017;104.55850814479638
8.5625;-11.3143;136.27060136941017;104.55850814479638
8.5;-11.7429;136.27060136941017;104.55850814479638
8.625;-12.2;136.27060136941017;104.55850814479638
9.1875;-12.6571;136.27060136941017;104.55850814479638
10.125;-13.2;136.27060136941017;104.55850814479638
11.0;-13.6857;136.27060136941017;104.55850814479638
11.5;-14.2286;136.27060136941017;104.55850814479638
12.0;-14.8286;136.27060136941017;104.55850814479638
12.5625;-15.3429;136.27060136941017;104.55850814479638
13.0;-15.9143;136.27060136941017;104.55850814479638
13.375;-16.5714;136.27060136941017;104.55850814479638
13.75;-17.2571;136.27060136941017;104.55850814479638
14.1875;-17.9714;136.27060136941017;104.55850814479638
14.6875;-18.5429;136.27060136941017;104.55850814479638
15.1875;-19.2286;136.27060136941017;104.55850814479638
15.8125;-19.9143;136.27060136941017;104.55850814479638
16.5;-20.6286;136.27060136941017;104.55850814479638
17.3125;-21.2;136.27060136941017;104.55850814479638
18.1875;-21.7429;136.27060136941017;104.55850814479638
18.8125;-22.4571;136.27060136941017;104.55850814479638
19.375;-23.1429;136.27060136941017;104.55850814479638
20.125;-23.8571;136.27060136941017;104.55850814479638
20.75;-24.6571;136.27060136941017;104.55850814479638
21.0625;-25.2286;136.27060136941017;104.55850814479638
21.25;-25.8857;136.27060136941017;104.55850814479638
21.625;-26.7143;136.27060136941017;104.55850814479638
22.5;-27.3429;136.27060136941017;104.55850814479638
23.5625;-27.9143;136.27060136941017;104.55850814479638
24.25;-28.4857;136.27060136941017;104.55850814479638
24.625;-29.2571;136.27060136941017;104.55850814479638
24.6875;-29.9429;136.27060136941017;104.55850814479638
24.6875;-30.5714;136.27060136941017;104.55850814479638
24.625;-31.2571;136.27060136941017;104.55850814479638
24.5625;-31.9143;136.27060136941017;104.55850814479638
25.25;-32.5429;136.27060136941017;104.55850814479638
27.0;-33.3714;136.27060136941017;104.55850814479638
28.9375;-33.8571;136.27060136941017;104.55850814479638
30.125;-34.6571;136.27060136941017;104.55850814479638
30.8125;-35.4571;136.27060136941017;104.55850814479638
31.4375;-36.1714;136.27060136941017;104.55850814479638
32.1875;-36.9143;136.27060136941017;104.55850814479638
33.0;-37.5714;136.27060136941017;104.55850814479638
33.8125;-38.1714;136.27060136941017;104.55850814479638
34.3125;-38.8;136.27060136941017;104.55850814479638
34.4375;-39.4;136.27060136941017;104.55850814479638
34.625;-40.3714;136.27060136941017;104.55850814479638
35.25;-40.8857;136.27060136941017;104.55850814479638
