SF-A-022;Sensirion;RMSE;MAE
6.37;-6.2;85.4526623047219;51.05678566997519
6.35;-6.1714;85.4526623047219;51.05678566997519
6.32;-6.1429;85.4526623047219;51.05678566997519
6.29;-6.0857;85.4526623047219;51.05678566997519
6.24;-6.0857;85.4526623047219;51.05678566997519
6.21;-6.0571;85.4526623047219;51.05678566997519
6.17;-6.0;85.4526623047219;51.05678566997519
6.16;-6.0;85.4526623047219;51.05678566997519
6.13;-6.0;85.4526623047219;51.05678566997519
6.1;-5.9714;85.4526623047219;51.05678566997519
6.06;-5.8857;85.4526623047219;51.05678566997519
6.03;-5.9143;85.4526623047219;51.05678566997519
6.01;-5.8571;85.4526623047219;51.05678566997519
5.98;-5.8286;85.4526623047219;51.05678566997519
5.96;-5.7714;85.4526623047219;51.05678566997519
5.93;-5.8;85.4526623047219;51.05678566997519
5.91;-5.7143;85.4526623047219;51.05678566997519
5.91;-5.7143;85.4526623047219;51.05678566997519
5.89;-5.7429;85.4526623047219;51.05678566997519
5.86;-5.7429;85.4526623047219;51.05678566997519
5.87;-5.7429;85.4526623047219;51.05678566997519
5.84;-5.7143;85.4526623047219;51.05678566997519
5.83;-5.7143;85.4526623047219;51.05678566997519
5.83;-5.6571;85.4526623047219;51.05678566997519
5.83;-5.6857;85.4526623047219;51.05678566997519
5.84;-5.6857;85.4526623047219;51.05678566997519
5.86;-5.7143;85.4526623047219;51.05678566997519
5.87;-5.7714;85.4526623047219;51.05678566997519
5.9;-5.8;85.4526623047219;51.05678566997519
5.97;-5.8857;85.4526623047219;51.05678566997519
6.01;-5.9143;85.4526623047219;51.05678566997519
6.09;-6.0857;85.4526623047219;51.05678566997519
6.17;-6.1429;85.4526623047219;51.05678566997519
6.25;-6.2571;85.4526623047219;51.05678566997519
6.36;-6.3429;85.4526623047219;51.05678566997519
6.48;-6.5143;85.4526623047219;51.05678566997519
6.61;-6.6286;85.4526623047219;51.05678566997519
6.75;-6.8;85.4526623047219;51.05678566997519
6.91;-6.9714;85.4526623047219;51.05678566997519
7.1;-7.1714;85.4526623047219;51.05678566997519
7.29;-7.4571;85.4526623047219;51.05678566997519
7.51;-7.7143;85.4526623047219;51.05678566997519
7.76;-7.9143;85.4526623047219;51.05678566997519
8.04;-8.2;85.4526623047219;51.05678566997519
8.28;-8.5143;85.4526623047219;51.05678566997519
8.59;-8.7429;85.4526623047219;51.05678566997519
8.86;-9.0571;85.4526623047219;51.05678566997519
9.19;-9.4;85.4526623047219;51.05678566997519
9.54;-9.7714;85.4526623047219;51.05678566997519
9.89;-10.1143;85.4526623047219;51.05678566997519
10.26;-10.4857;85.4526623047219;51.05678566997519
10.61;-10.8857;85.4526623047219;51.05678566997519
10.99;-11.2571;85.4526623047219;51.05678566997519
11.38;-11.6857;85.4526623047219;51.05678566997519
11.83;-12.1429;85.4526623047219;51.05678566997519
12.28;-12.4857;85.4526623047219;51.05678566997519
12.66;-12.8857;85.4526623047219;51.05678566997519
13.13;-13.4571;85.4526623047219;51.05678566997519
13.61;-13.9143;85.4526623047219;51.05678566997519
14.09;-14.4;85.4526623047219;51.05678566997519
14.56;-14.8286;85.4526623047219;51.05678566997519
15.06;-15.4;85.4526623047219;51.05678566997519
15.59;-15.9429;85.4526623047219;51.05678566997519
16.14;-16.4571;85.4526623047219;51.05678566997519
16.67;-16.9429;85.4526623047219;51.05678566997519
17.19;-17.4857;85.4526623047219;51.05678566997519
17.68;-18.0857;85.4526623047219;51.05678566997519
18.22;-18.6;85.4526623047219;51.05678566997519
18.8;-19.2571;85.4526623047219;51.05678566997519
19.42;-19.7714;85.4526623047219;51.05678566997519
20.06;-20.4286;85.4526623047219;51.05678566997519
20.66;-20.8286;85.4526623047219;51.05678566997519
21.27;-21.5143;85.4526623047219;51.05678566997519
21.87;-21.9429;85.4526623047219;51.05678566997519
22.42;-22.6;85.4526623047219;51.05678566997519
23.15;-23.1714;85.4526623047219;51.05678566997519
23.78;-23.7714;85.4526623047219;51.05678566997519
24.52;-24.5714;85.4526623047219;51.05678566997519
25.16;-25.0286;85.4526623047219;51.05678566997519
25.81;-25.6;85.4526623047219;51.05678566997519
26.43;-26.3143;85.4526623047219;51.05678566997519
27.04;-26.8857;85.4526623047219;51.05678566997519
27.67;-27.4;85.4526623047219;51.05678566997519
28.21;-28.0571;85.4526623047219;51.05678566997519
28.67;-28.5429;85.4526623047219;51.05678566997519
29.32;-29.2857;85.4526623047219;51.05678566997519
29.94;-30.0286;85.4526623047219;51.05678566997519
30.69;-30.4571;85.4526623047219;51.05678566997519
31.04;-31.4;85.4526623047219;51.05678566997519
31.76;-31.4857;85.4526623047219;51.05678566997519
32.25;-32.3714;85.4526623047219;51.05678566997519
32.98;-32.7429;85.4526623047219;51.05678566997519
33.55;-33.7429;85.4526623047219;51.05678566997519
34.15;-33.8857;85.4526623047219;51.05678566997519
34.74;-34.9714;85.4526623047219;51.05678566997519
35.32;-35.3143;85.4526623047219;51.05678566997519
36.03;-36.1429;85.4526623047219;51.05678566997519
36.6;-36.4;85.4526623047219;51.05678566997519
37.26;-37.2;85.4526623047219;51.05678566997519
37.66;-37.4286;85.4526623047219;51.05678566997519
38.21;-38.5429;85.4526623047219;51.05678566997519
38.7;-38.4286;85.4526623047219;51.05678566997519
39.38;-39.8286;85.4526623047219;51.05678566997519
40.07;-39.6286;85.4526623047219;51.05678566997519
40.57;-40.8;85.4526623047219;51.05678566997519
41.03;-40.6857;85.4526623047219;51.05678566997519
41.46;-41.8286;85.4526623047219;51.05678566997519
42.06;-42.2;85.4526623047219;51.05678566997519
42.81;-42.6;85.4526623047219;51.05678566997519
43.55;-43.6571;85.4526623047219;51.05678566997519
43.82;-43.7714;85.4526623047219;51.05678566997519
44.28;-44.5429;85.4526623047219;51.05678566997519
44.76;-44.5429;85.4526623047219;51.05678566997519
45.37;-44.9714;85.4526623047219;51.05678566997519
45.83;-46.1429;85.4526623047219;51.05678566997519
