TSI;Sensirion;RMSE;MAE
0.0;0.0;95.30234126499015;56.589555569345336
0.0;0.0;95.30234126499015;56.589555569345336
0.0;-0.0286;95.30234126499015;56.589555569345336
0.0;0.0;95.30234126499015;56.589555569345336
0.0;0.0571;95.30234126499015;56.589555569345336
0.0;-0.0286;95.30234126499015;56.589555569345336
0.0;-0.0286;95.30234126499015;56.589555569345336
0.0;-0.0571;95.30234126499015;56.589555569345336
0.0;0.0286;95.30234126499015;56.589555569345336
0.0;0.0571;95.30234126499015;56.589555569345336
0.0;0.1143;95.30234126499015;56.589555569345336
0.0;-0.0286;95.30234126499015;56.589555569345336
0.0;-0.0286;95.30234126499015;56.589555569345336
0.0;0.0;95.30234126499015;56.589555569345336
0.0;-0.0857;95.30234126499015;56.589555569345336
0.0;-0.0286;95.30234126499015;56.589555569345336
0.0;0.0;95.30234126499015;56.589555569345336
0.0;-0.0571;95.30234126499015;56.589555569345336
0.0;-0.1143;95.30234126499015;56.589555569345336
0.0;-0.1143;95.30234126499015;56.589555569345336
0.0;-0.0857;95.30234126499015;56.589555569345336
0.0;-0.0286;95.30234126499015;56.589555569345336
0.0;-0.2571;95.30234126499015;56.589555569345336
0.0;-0.1429;95.30234126499015;56.589555569345336
0.0;-0.2;95.30234126499015;56.589555569345336
0.01;-0.2571;95.30234126499015;56.589555569345336
0.03;-0.3429;95.30234126499015;56.589555569345336
0.05;-0.4286;95.30234126499015;56.589555569345336
0.1;-0.5429;95.30234126499015;56.589555569345336
0.14;-0.5143;95.30234126499015;56.589555569345336
0.2;-0.7429;95.30234126499015;56.589555569345336
0.29;-0.7143;95.30234126499015;56.589555569345336
0.4;-0.9429;95.30234126499015;56.589555569345336
0.53;-1.0857;95.30234126499015;56.589555569345336
0.68;-1.2;95.30234126499015;56.589555569345336
0.83;-1.4857;95.30234126499015;56.589555569345336
1.01;-1.6286;95.30234126499015;56.589555569345336
1.21;-1.8857;95.30234126499015;56.589555569345336
1.42;-2.1429;95.30234126499015;56.589555569345336
1.67;-2.4571;95.30234126499015;56.589555569345336
1.94;-2.7143;95.30234126499015;56.589555569345336
2.22;-3.0286;95.30234126499015;56.589555569345336
2.53;-3.4;95.30234126499015;56.589555569345336
2.88;-3.6;95.30234126499015;56.589555569345336
3.24;-3.9429;95.30234126499015;56.589555569345336
3.66;-4.4;95.30234126499015;56.589555569345336
4.08;-4.8857;95.30234126499015;56.589555569345336
4.55;-5.2857;95.30234126499015;56.589555569345336
5.04;-5.7714;95.30234126499015;56.589555569345336
5.57;-6.1429;95.30234126499015;56.589555569345336
6.1;-6.7429;95.30234126499015;56.589555569345336
6.65;-7.2571;95.30234126499015;56.589555569345336
7.23;-7.8571;95.30234126499015;56.589555569345336
7.81;-8.3143;95.30234126499015;56.589555569345336
8.43;-8.9429;95.30234126499015;56.589555569345336
9.03;-9.4857;95.30234126499015;56.589555569345336
9.65;-9.9714;95.30234126499015;56.589555569345336
10.33;-10.6286;95.30234126499015;56.589555569345336
